BkChpNdx,NumVrs,NumWrd,BkAbbr,ChNdx
15364,19,479,1Pet,4
15365,14,300,1Pet,5
15617,21,488,2Pet,1
15618,22,581,2Pet,2
15619,18,484,2Pet,3
15873,10,247,1John,1
15874,29,736,1John,2
15875,24,534,1John,3
15876,21,480,1John,4
15877,21,520,1John,5
16129,13,298,2John,1
16385,14,294,3John,1
16641,25,608,Jude,1
16897,20,592,Rev,1
16898,29,802,Rev,2
16899,22,658,Rev,3
16900,11,348,Rev,4
16901,14,435,Rev,5
16902,17,540,Rev,6
16903,17,491,Rev,7
16904,13,397,Rev,8
16905,21,592,Rev,9
16906,11,353,Rev,10
16907,19,580,Rev,11
16908,17,497,Rev,12
16909,18,538,Rev,13
16910,20,651,Rev,14
16911,8,252,Rev,15
16912,21,567,Rev,16
16913,18,522,Rev,17
16914,24,747,Rev,18
16915,21,634,Rev,19
16916,15,477,Rev,20
16917,27,749,Rev,21
16918,21,573,Rev,22
